iter	Passed	Remaining
292	9309	6576
293	9352	6552
294	9384	6521
295	9426	6496
296	9465	6469
297	9503	6441
298	9535	6410
299	9570	6380
300	9604	6349
301	9643	6322
302	9673	6289
303	9707	6258
304	9738	6226
305	9767	6192
306	9803	6163
307	9836	6131
308	9869	6100
309	9908	6072
310	9942	6041
311	9975	6010
312	10018	5985
313	10061	5959
314	10093	5927
315	10120	5892
316	10151	5860
317	10181	5827
318	10212	5794
319	10240	5760
320	10270	5726
321	10303	5695
322	10333	5662
323	10359	5627
324	10391	5595
325	10419	5561
326	10444	5525
327	10473	5492
328	10506	5460
329	10530	5424
330	10560	5391
331	10590	5359
332	10620	5326
333	10646	5291
334	10674	5257
335	10704	5224
336	10736	5193
337	10766	5160
338	10800	5129
339	10835	5099
340	10865	5066
341	10892	5032
342	10925	5000
343	10954	4967
344	10984	4935
345	11016	4903
346	11044	4869
347	11075	4837
348	11106	4805
349	11142	4775
350	11168	4741
351	11194	4706
352	11225	4674
353	11255	4642
354	11282	4608
355	11307	4573
356	11340	4542
357	11370	4510
358	11398	4476
359	11428	4444
360	11458	4412
361	11489	4379
362	11516	4346
363	11546	4313
364	11574	4281
365	11604	4248
366	11630	4214
367	11657	4181
368	11681	4147
369	11713	4115
370	11745	4083
371	11775	4051
372	11807	4020
373	11837	3987
374	11868	3956
375	11896	3923
376	11922	3889
377	11953	3858
378	11984	3826
379	12012	3793
380	12038	3760
381	12063	3726
382	12087	3692
383	12114	3659
384	12138	3625
385	12167	3593
386	12193	3560
387	12223	3528
388	12254	3496
389	12283	3464
390	12308	3431
391	12340	3399
392	12366	3366
393	12390	3333
394	12416	3300
395	12443	3267
396	12473	3236
397	12501	3203
398	12526	3170
399	12554	3138
400	12580	3106
401	12606	3073
402	12639	3042
403	12665	3009
404	12699	2978
405	12728	2947
406	12756	2914
407	12780	2881
408	12809	2850
409	12842	2819
410	12869	2786
411	12894	2754
412	12924	2722
413	12952	2690
414	12985	2659
415	13017	2628
416	13047	2597
417	13072	2564
418	13097	2531
419	13125	2500
420	13149	2467
421	13175	2435
422	13203	2403
423	13234	2372
424	13267	2341
425	13299	2310
426	13327	2278
427	13357	2247
428	13384	2215
429	13413	2183
430	13441	2151
431	13469	2120
432	13495	2088
433	13520	2056
434	13550	2024
435	13579	1993
436	13606	1961
437	13631	1929
438	13664	1898
439	13697	1867
440	13729	1836
441	13757	1805
442	13787	1774
443	13814	1742
444	13843	1710
445	13872	1679
446	13905	1648
447	13927	1616
448	13951	1584
449	13979	1553
450	14007	1521
451	14042	1491
452	14072	1460
453	14101	1428
454	14135	1397
455	14158	1366
456	14184	1334
457	14211	1303
458	14244	1272
459	14270	1240
460	14297	1209
461	14329	1178
462	14356	1147
463	14383	1115
464	14414	1084
465	14440	1053
466	14470	1022
467	14499	991
468	14525	960
469	14550	928
470	14578	897
471	14605	866
472	14637	835
473	14664	804
474	14695	773
475	14728	742
476	14757	711
477	14787	680
478	14820	649
479	14849	618
480	14878	587
481	14907	556
482	14932	525
483	14961	494
484	14986	463
485	15014	432
486	15041	401
487	15070	370
488	15100	339
489	15126	308
490	15159	277
491	15187	246
492	15220	216
493	15250	185
494	15278	154
495	15310	123
496	15339	92
497	15365	61
498	15396	30
499	15426	0
