iter	F1	Logloss
234	0.9899888616	0.03536916618
235	0.9900220762	0.03513894242
236	0.9900824006	0.035094348
237	0.9901023318	0.03506118049
238	0.9901363466	0.03499992646
239	0.9901363466	0.03497225184
240	0.9901631864	0.03492567941
241	0.9902098277	0.03474404677
242	0.9902569952	0.03466091418
243	0.9902434442	0.03462315045
244	0.9902499581	0.03453759913
245	0.9903102856	0.03448728288
246	0.9903171908	0.03438483819
247	0.9903780345	0.03433171251
248	0.9903984863	0.03423555268
249	0.9903980997	0.03420462409
250	0.9904517791	0.03417303785
251	0.9904515229	0.03402938592
252	0.9904713335	0.03398115628
253	0.9905114681	0.03392896163
254	0.9905112134	0.03384413373
255	0.9905178604	0.03377189869
256	0.990544576	0.03369693238
257	0.990544576	0.03362857166
258	0.9905646449	0.03355420784
259	0.9905912355	0.03336832063
260	0.9906451743	0.03331506186
261	0.9906450487	0.03329305851
262	0.9906515714	0.03327158375
263	0.9906447976	0.03324226182
264	0.9906516969	0.0332064947
265	0.9906583451	0.03318931419
266	0.9906380237	0.03314553953
267	0.9906647428	0.03310479075
268	0.9906711409	0.0330670774
269	0.9906913376	0.03292450228
270	0.9907179339	0.03286159504
271	0.9907309838	0.03282017697
272	0.9907376334	0.03280275713
273	0.9907307349	0.03276621177
274	0.9907444074	0.03271735727
275	0.9907513054	0.03264958519
276	0.9907513054	0.03263726261
277	0.9907442831	0.03257819167
278	0.990784802	0.03252994147
279	0.9907713785	0.03250000029
280	0.9908115255	0.03246218584
281	0.9908045051	0.03241501535
282	0.9908583242	0.0322380367
283	0.9909051247	0.0321989847
284	0.9908782763	0.03211510977
285	0.9909186708	0.0320744672
286	0.9909120198	0.03204160464
287	0.9909386243	0.03199892759
288	0.9909659579	0.03194990568
289	0.9909524129	0.03191518105
290	0.9909860327	0.03190488289
291	0.9909926841	0.03185675696
292	0.9910327145	0.03177497517
293	0.9910530308	0.03165116154
294	0.9910598027	0.03162200891
295	0.9910664546	0.03158021498
296	0.9910663346	0.03149031271
297	0.9910729867	0.03145161451
298	0.9911000738	0.03141925111
299	0.9910865305	0.03138957134
300	0.9911137361	0.03136186732
301	0.9911136168	0.03132851674
302	0.9911270404	0.03132118907
303	0.9911540062	0.03129277298
304	0.9911541249	0.03127112079
305	0.9911607772	0.03126382979
306	0.9911272786	0.03120453164
307	0.9911875055	0.03117552654
308	0.9911875055	0.03115979015
309	0.991167311	0.03111524686
310	0.9911540062	0.03108286965
311	0.9911538875	0.03104433978
312	0.9911604212	0.03101302197
313	0.991180261	0.03097638676
314	0.9911736081	0.03095219784
315	0.9911803794	0.03094703303
316	0.9912073456	0.03090103822
317	0.9912275403	0.03082212747
318	0.991227658	0.03078539856
319	0.991227658	0.03077287945
320	0.9912884737	0.030705505
321	0.9912953604	0.03061912978
322	0.9912887075	0.03058785047
323	0.9912952436	0.03056416612
324	0.9913017799	0.0305475484
325	0.991294893	0.03053039667
326	0.991294893	0.03052446987
327	0.9913152031	0.03049458726
328	0.9913153197	0.03044455096
329	0.9913220894	0.03043571749
330	0.9913154362	0.03039855884
331	0.9913087832	0.03037638769
332	0.9913288591	0.03033145116
333	0.9913220894	0.03032317846
334	0.9913219729	0.0303078925
335	0.9913355123	0.03029128719
336	0.9913692434	0.03025548271
337	0.9913827817	0.03024720384
338	0.9913630537	0.03021408528
339	0.9913764756	0.03011082161
340	0.9913695909	0.03008805335
341	0.9913828973	0.03006546943
342	0.9913828973	0.03003704887
343	0.9913960886	0.03001074487
344	0.9913960886	0.02999728542
345	0.9913894351	0.02998878558
346	0.9913895507	0.02997763168
347	0.9914028577	0.0299668857
348	0.9913963196	0.02994100508
349	0.9914298178	0.02988630744
350	0.991423049	0.02987985035
351	0.9914096266	0.02986414698
352	0.9914028577	0.02983444876
353	0.9914096266	0.02981466081
354	0.9914096266	0.02980748778
355	0.9914162802	0.02979074222
356	0.9914363566	0.0297672743
357	0.9914229339	0.02973753385
358	0.9914565479	0.02971927722
359	0.9914431253	0.02969060588
360	0.991449894	0.02966150943
361	0.9914432402	0.0296428267
362	0.9914432402	0.02961665206
363	0.9914700849	0.02958812941
364	0.9914700849	0.02956852816
365	0.9914700849	0.02955774955
366	0.991463431	0.0295484268
367	0.991463431	0.02953315464
368	0.9914769677	0.029524181
369	0.9914971579	0.02947716533
370	0.9914975003	0.02944010111
371	0.9915108078	0.02940567114
372	0.9915441917	0.0293772176
373	0.9915444186	0.02935397745
374	0.9915647208	0.02932902419
375	0.9915647208	0.02930690824
376	0.991571488	0.02929244137
377	0.9915580668	0.02926646392
378	0.9915579535	0.02923687673
379	0.9915579535	0.0292143469
380	0.9915647208	0.02919150224
381	0.991571488	0.0291876758
382	0.9915713749	0.02917906525
383	0.9915713749	0.02916750783
384	0.9915781421	0.029160647
385	0.9915849092	0.0291452592
386	0.9915781421	0.02912654419
387	0.9915983304	0.02907438122
388	0.9916250604	0.02904175901
389	0.991638594	0.02901551287
390	0.991638594	0.02895616473
391	0.9916452485	0.02892803241
392	0.9916652127	0.02891066124
393	0.9916653245	0.02889577368
394	0.9916585579	0.02888579969
395	0.9916719793	0.02885142421
396	0.9916652127	0.02882551002
397	0.9916786342	0.0287958222
398	0.9916786342	0.02878954466
399	0.9916788576	0.02876762124
400	0.9916920558	0.02875114934
401	0.9916921673	0.02874115817
402	0.9917054773	0.02866527563
403	0.99171901	0.02865768229
404	0.99171901	0.02862470415
405	0.9916987109	0.02860203394
406	0.9917391975	0.02851357822
407	0.9917324314	0.02850803719
408	0.9917324314	0.02847555905
409	0.9917325424	0.02844660549
410	0.9917459636	0.02843593502
411	0.9917459636	0.0284325658
412	0.9917461851	0.02841149358
413	0.9917528402	0.02839827817
414	0.991759606	0.02837796707
415	0.9917660401	0.02835254607
416	0.9917794614	0.0283344508
417	0.9917794614	0.02832519708
418	0.9917794614	0.0283176525
419	0.9917995383	0.02829380596
420	0.9917996484	0.02828255809
421	0.9918130696	0.02825942495
422	0.9918129597	0.02823236588
423	0.9918129597	0.02820378815
424	0.9918264908	0.02812749313
425	0.9918332562	0.02810086883
426	0.9918467867	0.028087522
427	0.9918668635	0.0280696421
428	0.9918938143	0.02804447024
429	0.9918938143	0.02802757526
430	0.9918736285	0.02800944318
431	0.9918803935	0.02798886892
432	0.9918803935	0.02798524908
433	0.9919138913	0.02797660567
434	0.9919070179	0.02796430501
435	0.9919070179	0.02794882556
436	0.9919203307	0.02793159452
437	0.9919203307	0.02792841783
438	0.9919273123	0.02789144926
439	0.9919274206	0.02787498601
440	0.9919274206	0.02785951395
441	0.9919477138	0.0278060953
442	0.9919474977	0.02777390523
443	0.9919408413	0.02776301705
444	0.9919677906	0.02774065172
445	0.9919744471	0.02766366752
446	0.9919676828	0.02764734836
447	0.9919610264	0.02764317475
448	0.9919610264	0.02762800572
449	0.9919542621	0.02761447627
450	0.9919610264	0.02759916959
451	0.9919542621	0.02758297933
452	0.9919608106	0.02756321555
453	0.9919608106	0.02755370571
454	0.9919540461	0.0275080768
455	0.9919608106	0.02749557375
456	0.9919608106	0.02748760516
457	0.9919743394	0.027468838
458	0.9919676828	0.02741642337
459	0.991954478	0.02739999429
460	0.9919477138	0.02738899566
461	0.9919612422	0.02736049242
462	0.9919880828	0.02734636685
463	0.9919813188	0.02733623751
464	0.9919677906	0.02731551777
465	0.9919745548	0.02729562037
466	0.9919745548	0.02727095986
467	0.9919812112	0.0272586378
468	0.9919812112	0.02725570013
469	0.9919744471	0.02724840564
470	0.9919812112	0.02723598027
471	0.9919946318	0.02722743817
472	0.9920080523	0.0272010222
473	0.9920012884	0.02718428831
474	0.992001181	0.02716790152
475	0.9920146019	0.02715273693
476	0.9920212587	0.0271257875
477	0.9920214729	0.02707225449
478	0.9920281297	0.02704737982
479	0.9920281297	0.02702326472
480	0.9920213658	0.02701339055
481	0.9920079451	0.02699293988
482	0.9920079451	0.02698138775
483	0.9920146019	0.02696787318
484	0.9920213658	0.02695926151
485	0.9920415504	0.02694992024
486	0.9920484208	0.02693816085
487	0.9920619477	0.02692361149
488	0.992068711	0.02690000035
489	0.9920619477	0.02689391546
490	0.9920686046	0.02688094502
491	0.9920821311	0.02686628801
492	0.9921023143	0.02682316911
493	0.9921359171	0.02680065447
494	0.99212926	0.02678456898
495	0.9921360227	0.02676448065
496	0.9921360227	0.02675313748
497	0.9921360227	0.02674932359
498	0.9921359171	0.02673517556
499	0.9921426798	0.02671091235
